State	Average Price per kWh (cents)	Average Monthly Usage (kWh)	Estimated Monthly Savings with Solar Panels (USD)
Alabama	12.96	1,140	$125.06
Alaska	22.55	594	$133.89
Arizona	12.54	1,048	$121.01
Arkansas	11.27	1,098	$108.8
California	22.82	542	$123.67
Colorado	13.07	704	$91.96
Connecticut	21.91	713	$156.21
Delaware	12.52	950	$118.85
District of Columbia	13.09	706	$92.42
Florida	11.90	1,096	$114.84
Georgia	12.51	1,072	$120.72
Hawaii	33.49	531	$177.78
Idaho	10.16	961	$97.62
Illinois	13.18	728	$95.86
Indiana	13.37	946	$126.51
Iowa	12.73	861	$109.63
Kansas	12.98	890	$115.53
Kentucky	11.50	1,084	$110.98
Louisiana	11.02	1,192	$106.34
Maine	17.02	584	$99.44
Maryland	13.12	973	$127.66
Massachusetts	22.89	596	$136.37
Michigan	17.54	670	$117.57
Minnesota	13.50	776	$104.76
Mississippi	11.56	1,171	$111.56
Missouri	11.41	1,039	$110.11
Montana	11.22	872	$97.84
Nebraska	10.75	1,005	$103.74
Nevada	11.49	959	$110.17
New Hampshire	19.85	631	$125.24
New Jersey	16.35	687	$112.39
New Mexico	13.52	646	$87.31
New York	19.48	599	$116.70
North Carolina	11.32	1,063	$109.24
North Dakota	10.85	1,041	$104.70
Ohio	12.77	879	$112.21
Oklahoma	11.00	1,088	$106.15
Oregon	11.37	936	$106.49
Pennsylvania	13.76	851	$117.11
Rhode Island	22.30	585	$130.40
South Carolina	12.86	1,078	$124.10
South Dakota	12.22	1,019	$124.52
Tennessee	11.07	1,183	$106.83
Texas	12.11	1,094	$116.86
Utah	10.43	775	$80.87
Vermont	19.26	567	$109.24
Virginia	11.96	1,094	$115.41
Washington	10.11	984	$97.56
West Virginia	12.15	1,066	$117.25
Wisconsin	14.52	690	$100.18
Wyoming	11.17	867	$96.82